# ============================================================
# EXCEPTION VOLONTAIRE A LA REGLE regles-emojis-ascii.md
# ------------------------------------------------------------
# Ce fichier CONTIENT volontairement des emojis : c'est le
# dictionnaire de correspondance emoji -> ASCII utilise par
# corriger-emojis.sh. Il ne peut pas etre converti en ASCII
# pur, sinon l'outil perdrait sa fonction.
#
# NE PAS purger ce fichier. Les lignes # sont ignorees par
# l'outil. Exception documentee dans regles-emojis-ascii.md.
# ============================================================
# Dictionnaire Emoji -> ASCII
# Format: EMOJI|REMPLACEMENT
⏳|[attente]
# Ce fichier est utilise par corriger-emojis.sh

# Emojis de verification
✅|[OK]
✔️|[OK]
✔|[OK]
✓|[OK]
❌|[ERREUR]
✖️|[ERREUR]
✖|[ERREUR]
✗|[ERREUR]
✘|[ERREUR]

# Emojis d'attention
⚠️|[ATTENTION]
⚠|[ATTENTION]

# Emojis de documentation
📝|[DOCUMENT]
📋|[CHECKLIST]
📊|[GRAPHIQUE]
📈|[CROISSANCE]
📉|[DECROISSANCE]

# Emojis de recherche
🔍|[RECHERCHE]
🔎|[RECHERCHE]

# Emojis d'action
🚀|[DEMARRER]
📥|[TELECHARGER]
📤|[ENVOYER]
⬇️|[TELECHARGER]
⬆️|[ENVOYER]

# Emojis de securite
🔒|[VERROUILLER]
🔓|[DEVERROUILLER]
🔐|[CLE]
🔑|[CLE]

# Emojis de configuration
⚙️|[CONFIGURER]
⚙|[CONFIGURER]

# Emojis de fichier
📄|[FICHIER]
📁|[DOSSIER]
📂|[OUVRIR]
📎|[PIECEJointe]
🔖|[SIGNET]
📑|[SIGNET]

# Emojis d'outil
🔧|[OUTIL]
🔨|[MARTEAU]
📌|[PUNAISE]
📍|[ROND]

# Emojis de communication
💬|[BULLE]
💭|[REVE]
🔔|[CLOCHE]
🔕|[CLOCHE2]

# Emojis d'argent
💰|[ARGENT]
💲|[DOLLAR]

# Emojis d'informatique
💻|[ORDINATEUR]
🖥️|[ECRAN]

# Emojis d'idee
💡|[IDEe]

# Emojis de force
💪|[MUSCLE]

# Emojis de succes
🎉|[SUCCES]
🎊|[SUCCES]
🏆|[TROPHÉE]
🥇|[OR]
🥈|[ARGENT]
🥉|[BRONZE]

# Emojis d'erreur
💥|[EXPLOSION]
🔥|[FEU]
⚡|[ECLAIR]

# Emojis de temps
⏰|[HORLOGE]
⏱️|[CHRONO]
⏲️|[MINUTERIE]
📅|[CALENDRIER]
📆|[CALENDRIER]

# Emojis de localisation
🗺️|[CARTE]
🧭|[BOUSSOLE]

# Emojis de communication
📞|[TELEPHONE]
📱|[MOBILE]
📧|[EMAIL]
✉️|[ENVELOPPE]
📨|[RECEPTION]

# Emojis de media
📷|[APPAREIL]
🎬|[CINEMA]
🎥|[VIDEO]
📹|[CAMERA]
🔊|[SON]
🔇|[MUET]
🔈|[SON_FAIBLE]
🔉|[SON_MOYEN]

# Emojis de nature
🌍|[MONDE]
🌎|[AMERIQUES]
🌏|[ASIE]
🌐|[WEB]
🌑|[LUNE_NOIRE]
🌒|[LUNE_CRESCENT]
🌓|[LUNE_DEMI]
🌔|[LUNE_GIBBUSE]
🌕|[LUNE_PLEINE]
🌖|[LUNE_GIBBUSE_DESC]
🌗|[LUNE_DEMI_DESC]
🌘|[LUNE_CRESCENT_DESC]
⭐|[ETOILE]
🌟|[ETOILE_BRILLANTE]
💫|[ETOILE_CADEAU]
🌈|[ARC_EN_CIEL]
☀️|[SOLEIL]
🌤️|[SOLEIL_NUAGEUX]
⛅|[NUAGE_SOLEIL]
🌥️|[NUAGE]
☁️|[NUAGE]
🌧️|[PLUIE]
⛈️|[ORAGE]
🌩️|[ORAGE]
🌪️|[TORNADO]
🌫️|[BROUILLARD]
🌬️|[VENT]

# Emojis de nourriture
🍎|[POMME]
🍐|[POIRE]
🍊|[ORANGE]
🍋|[CITRON]
🍌|[BANANE]
🍉|[PASTÈQUE]
🍇|[RAISIN]
🍓|[FRAISE]
🍈|[MELON]
🍒|[CERISE]
🍑|[PECHE]
🥭|[MANGUE]
🍍|[ANANAS]
🥝|[KIWI]
🍅|[TOMATE]
🍆|[AUBERGINE]
🥑|[AVOCAT]

# Emojis d'animaux
🐶|[CHIEN]
🐱|[CHAT]
🐭|[SOURIS]
🐹|[HAMSTER]
🐰|[LAPIN]
🦊|[RENARD]
🐻|[OURS]
🐼|[PANDA]
🐨|[KOALA]
🐯|[TIGRE]
🦁|[LION]
🐮|[VACHE]
🐷|[COCHON]
🐸|[GRENouille]
🐵|[SINGE]

# Emojis de personnes
👋|[SALUT]
👍|[Pouce_haut]
👎|[Pouce_bas]
👏|[APPLAUDISSEMENTS]
🙌|[LEVER_mains]
🤝|[POIGNÉE_de_main]
🙏|[PRIERE]
🦾|[MUSCLE Mécanique]
🦿|[Jambe mécanique]
🦵|[JAMBE]
🦶|[PIED]
👂|[OREILLE]
🦻|[OREILLE_appareil]
👃|[NEZ]
🧠|[CERVEAU]
🫀|[CŒUR_anatomique]
🦷|[DENT]
🦴|[OS]

# Emojis de symboles
❤️|[COEUR]
🧡|[COEUR_ORANGE]
💛|[COEUR_JAUNE]
💚|[COEUR_VERT]
💙|[COEUR_BLEU]
💜|[COEUR_VIOLET]
🖤|[COEUR_NOIR]
🤍|[COEUR_BLANC]
🤎|[COEUR_MARRON]
💔|[COEUR_BROKÉ]
❣️|[COEUR_EXCLAMATION]
